naam, type, uri, functie
drs. M.A.M. Barth,loopbaan,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#3,"vice-voorzitter KNMP, vanaf 1 september 2013"
drs. M.A.M. Barth,loopbaan,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#4,"Eigenaar Marleen Barth Advies, vanaf 2008"
drs. M.A.M. Barth,loopbaan,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#5,"voorzitter GGZ Nederland, brancheorganisatie van instellingen in de geestelijke gezondheidszorg en verslavingszorg, van 1 mei 2008 tot 1 september 2013"
drs. M.A.M. Barth,loopbaan,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#6,"voorzitter CNV Onderwijs, van 1 januari 2005 tot 1 mei 2008"
drs. M.A.M. Barth,loopbaan,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#7,"fractievoorzitter PvdA Provinciale Staten van Noord-Holland, van 20 maart 2003 tot december 2004"
drs. M.A.M. Barth,loopbaan,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#8,"zelfstandig consultant, van 2002 tot 2004"
drs. M.A.M. Barth,loopbaan,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#9,"lid Tweede Kamer der Staten-Generaal, van 19 mei 1998 tot 23 mei 2002"
drs. M.A.M. Barth,loopbaan,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#10,"parlementair verslaggever dagblad \"Trouw\", van 1 februari 1991 tot 1 december 1997"
drs. M.A.M. Barth,nevenfuncties,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#11,"voorzitter Raad van Commissarissen IZER, vanaf 1 april 2015 [bezoldigd]"
drs. M.A.M. Barth,nevenfuncties,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#12,"lid Raad van Toezicht HvA (Hogeschool van Amsterdam), vanaf 1 mei 2014 [bezoldigd]"
drs. M.A.M. Barth,nevenfuncties,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#13,"vice voorzitter KNMP, vanaf 1 september 2013 [bezoldigd]"
drs. M.A.M. Barth,nevenfuncties,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#14,"voorzitter Raad van Toezicht \"De Jeugd- en Gezinsbeschermers\", vanaf april 2009 (bezoldigd)"
drs. M.A.M. Barth,nevenfuncties,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#15,"lid Commissie Integriteit Publieke Omroep, vanaf 2009 [bezoldigd]"
drs. M.A.M. Barth,nevenfuncties,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#16,"lid Raad van Advies Frans Hals Museum, vanaf 2009 [onbezoldigd]"
drs. M.A.M. Barth,nevenfuncties,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#17,"lid bestuur Stichting Prinsjesdag Ontbijt, vanaf 2009 [onbezoldigd]"
mr. dr. J. Beuving,opleiding,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#1,"Nederlands recht: privaatrecht en bestuursrecht, Katholieke Universiteit Nijmegen, van 1987 tot 1991"
mr. dr. J. Beuving,opleiding,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#2,"Lerarenopleiding, Nederlands en geschiedenis, Hogeschool Interstudie Nijmegen, van 1982 tot 1987"
mr. dr. J. Beuving,opleiding,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#3,"rechtsgeleerdheid, Katholieke Universiteit Nijmegen, 31 mei 1996"
mr. dr. J. Beuving,loopbaan,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#4,"Huidige"
mr. dr. J. Beuving,loopbaan,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#5,"hoofddocent aan de Academie voor Bestuur, Recht en Veiligheid van de Haagse Hogeschool, vanaf 15 juni 2012 [bezoldigd]"
mr. dr. J. Beuving,loopbaan,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#6,"Vorige"
mr. dr. J. Beuving,loopbaan,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#7,"lid en plaatsvervangend voorzitter CBP (College bescherming persoonsgegevens), van 1 mei 2005 tot 1 september 2011"
mr. dr. J. Beuving,loopbaan,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#8,"rechter in de rechtbank Almelo, van 1 september 2000 tot 1 mei 2005"
mr. dr. J. Beuving,loopbaan,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#9,"universitair docent privaatrecht, Vrije Universiteit te Amsterdam, van 1 september 1997 tot 1 september 2000"
mr. dr. J. Beuving,loopbaan,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#10,"advocaat \"Dirkzwager Advocaten\" te Nijmegen, van 1 maart 1996 tot 1 juni 1997"
